yearID,awardID,teamID,teamName,lgID,divID,playerName
2008,Silver Slugger,NYA,New York Yankees,AL,E,Alex Rodriguez
2008,Silver Slugger,MIN,Minnesota Twins,AL,C,Joe Mauer
2008,Silver Slugger,BAL,Baltimore Orioles,AL,E,Aubrey Huff
2008,Silver Slugger,TEX,Texas Rangers,AL,W,Josh Hamilton
2008,Silver Slugger,CHA,Chicago White Sox,AL,C,Carlos Quentin
2008,Silver Slugger,CLE,Cleveland Indians,AL,C,Grady Sizemore
2008,Silver Slugger,NYA,New York Yankees,AL,E,Derek Jeter
2008,Silver Slugger,SLN,St. Louis Cardinals,NL,C,Albert Pujols
2008,Silver Slugger,PHI,Philadelphia Phillies,NL,E,Chase Utley
2008,Silver Slugger,NYN,New York Mets,NL,E,David Wright
2008,Silver Slugger,ATL,Atlanta Braves,NL,E,Brian McCann
2008,Silver Slugger,MIL,Milwaukee Brewers,NL,C,Ryan Braun
2008,Silver Slugger,COL,Colorado Rockies,NL,W,Matt Holliday
